energy_eV,sey
875.394,1.036093
877.760,2.547771
880.126,2.556263
882.492,2.564756
884.858,1.019108
887.224,1.019108
889.590,1.019108
891.956,1.019108
894.322,1.019108
896.688,1.019108
899.054,1.019108
901.420,2.505308
903.785,2.513800
906.151,2.522293
908.517,2.522293
910.883,1.010616
913.249,1.010616
915.615,1.010616
917.981,1.010616
920.347,1.010616
922.713,1.010616
925.079,1.010616
927.445,2.462845
929.811,2.471338
932.177,0.993631
934.543,1.002123
936.909,1.002123
939.274,1.002123
941.640,1.002123
944.006,1.002123
946.372,1.002123
948.738,1.002123
951.104,2.428875
953.470,2.437367
955.836,2.437367
958.202,0.993631
960.568,0.993631
962.934,0.993631
965.300,0.993631
967.666,0.993631
970.032,0.993631
972.397,0.993631
974.763,0.993631
977.129,2.386412
979.495,2.394904
981.861,2.403397
984.227,2.403397
986.593,2.394904
988.959,2.394904
991.325,2.394904
993.691,2.386412
996.057,2.386412
998.423,2.386412
1000.789,2.377919
1003.155,2.377919
1005.521,2.369427
1007.886,0.959660
1010.252,0.959660
1012.618,0.959660
1014.984,0.959660
1017.350,0.959660
1019.716,0.959660
1022.082,0.959660
1024.448,0.959660
1026.814,2.318471
1029.180,2.326964
1031.546,2.335456
1033.912,2.335456
1036.278,2.326964
1038.644,2.326964
1041.009,2.326964
1043.375,2.318471
1045.741,2.318471
1048.107,2.309979
1050.473,2.309979
1052.839,2.309979
1055.205,2.301486
1057.571,0.934183
1059.937,0.934183
1062.303,0.934183
1064.669,0.934183
1067.035,0.934183
1069.401,0.934183
1071.767,0.934183
1074.132,0.934183
1076.498,2.259023
1078.864,2.267516
1081.230,2.267516
1083.596,2.267516
1085.962,2.267516
1088.328,2.259023
1090.694,2.259023
1093.060,2.259023
1095.426,2.250531
1097.792,2.250531
1100.158,2.216561
1102.524,0.908705
1104.890,0.917197
1107.256,0.917197
1109.621,0.917197
1111.987,0.917197
1114.353,0.917197
1116.719,0.917197
1119.085,2.199575
1121.451,2.208068
1123.817,2.216561
1126.183,2.216561
1128.549,2.216561
1130.915,2.208068
1133.281,2.208068
1135.647,2.208068
1138.013,2.199575
1140.379,2.199575
1142.744,2.199575
1145.110,2.191083
1147.476,2.191083
1149.842,0.891720
1152.208,0.891720
1154.574,0.891720
1156.940,0.891720
1159.306,0.891720
1161.672,0.891720
1164.038,0.891720
1166.404,0.891720
1168.770,2.140127
1171.136,2.148620
1173.502,2.157113
1175.868,2.157113
1178.233,2.157113
1180.599,2.157113
1182.965,2.148620
1185.331,2.148620
1187.697,2.148620
1190.063,2.140127
1192.429,2.140127
1194.795,2.140127
1197.161,2.131635
1199.527,0.883227
1201.893,0.883227
1204.259,0.883227
1206.625,0.883227
1208.991,0.883227
1211.356,0.883227
1213.722,0.883227
1216.088,0.883227
1218.454,0.874735
1220.820,2.089172
1223.186,2.097665
1225.552,2.106157
