energy_eV,sey
873.028,2.624204
875.394,2.615711
877.760,2.607219
880.126,2.598726
882.492,2.590234
884.858,2.581741
887.224,2.573248
889.590,2.581741
891.956,2.590234
894.322,2.598726
896.688,2.590234
899.054,2.581741
901.420,2.573248
903.785,2.564756
906.151,2.556263
908.517,2.547771
910.883,2.522293
913.249,2.530786
915.615,2.539278
917.981,2.539278
920.347,2.539278
922.713,2.530786
925.079,2.522293
927.445,2.513800
929.811,2.505308
932.177,2.496815
934.543,2.488323
936.909,2.488323
939.274,2.496815
941.640,2.505308
944.006,2.505308
946.372,2.496815
948.738,2.488323
951.104,2.479830
953.470,2.471338
955.836,2.462845
958.202,2.437367
960.568,2.445860
962.934,2.454352
965.300,2.462845
967.666,2.462845
970.032,2.454352
972.397,2.445860
974.763,2.437367
977.129,2.428875
979.495,2.420382
981.861,2.411890
984.227,2.403397
986.593,2.394904
988.959,2.394904
991.325,2.394904
993.691,2.386412
996.057,2.386412
998.423,2.386412
1000.789,2.377919
1003.155,2.377919
1005.521,2.369427
1007.886,2.369427
1010.252,2.377919
1012.618,2.386412
1014.984,2.394904
1017.350,2.394904
1019.716,2.386412
1022.082,2.377919
1024.448,2.369427
1026.814,2.360934
1029.180,2.352442
1031.546,2.335456
1033.912,2.335456
1036.278,2.326964
1038.644,2.326964
1041.009,2.326964
1043.375,2.318471
1045.741,2.318471
1048.107,2.309979
1050.473,2.309979
1052.839,2.309979
1055.205,2.301486
1057.571,2.301486
1059.937,2.309979
1062.303,2.318471
1064.669,2.318471
1067.035,2.309979
1069.401,2.301486
1071.767,2.301486
1074.132,2.284501
1076.498,2.284501
1078.864,2.276008
1081.230,2.267516
1083.596,2.267516
1085.962,2.267516
1088.328,2.259023
1090.694,2.259023
1093.060,2.259023
1095.426,2.250531
1097.792,2.250531
1100.158,2.250531
1102.524,2.259023
1104.890,2.267516
1107.256,2.276008
1109.621,2.284501
1111.987,2.284501
1114.353,2.284501
1116.719,2.276008
1119.085,2.267516
1121.451,2.259023
1123.817,2.250531
1126.183,2.242038
1128.549,2.216561
1130.915,2.208068
1133.281,2.208068
1135.647,2.208068
1138.013,2.199575
1140.379,2.199575
1142.744,2.199575
1145.110,2.191083
1147.476,2.191083
1149.842,2.191083
1152.208,2.199575
1154.574,2.208068
1156.940,2.216561
1159.306,2.225053
1161.672,2.225053
1164.038,2.216561
1166.404,2.208068
1168.770,2.199575
1171.136,2.191083
1173.502,2.182590
1175.868,2.157113
1178.233,2.157113
1180.599,2.157113
1182.965,2.157113
1185.331,2.148620
1187.697,2.148620
1190.063,2.148620
1192.429,2.140127
1194.795,2.140127
1197.161,2.131635
1199.527,2.131635
1201.893,2.140127
1204.259,2.148620
1206.625,2.157113
1208.991,2.157113
1211.356,2.148620
1213.722,2.140127
1216.088,2.131635
1218.454,2.123142
1220.820,2.114650
1223.186,2.106157
1225.552,2.106157
